Type,ID,Description,KM
Non-BRTS,59-U,Shanipar To Niljyoti,6.2
Non-BRTS,5A-D,Tadiwala Road To Swargate,6.3
Non-BRTS,5A-U,Swargate To Tadiwala Road,6.3
Non-BRTS,5-D,Pune Station To Swargate,5.45
Non-BRTS,5-U,Swargate To Pune Station,5.45
Non-BRTS,60-D,Ghulenager To Mandai,11
Non-BRTS,60-U,Mandai To Ghulenager,11
Non-BRTS,61-D,Nasrapur To Swargate,32
Non-BRTS,61-U,Swargate To Nasrapur,32
Non-BRTS,62-D,Sangamwadi To Sukhsagarnagar,18.3
Non-BRTS,62-U,Sukhsagarnagar To Sangamwadi,18.3
Non-BRTS,63-D,Kalyaninagar To Swargate,11.5
Non-BRTS,63-U,Swargate To Kalyaninagar,11.5
Non-BRTS,64A-D,Warje Malwadi To Swargate,10
Non-BRTS,64A-U,Swargate To Warje Malwadi,10
Non-BRTS,64B-D,Gujrat Colony To Upper Depot,11.7
Non-BRTS,64B-U,Upper Depot To Gujrat Colony,11.7
Non-BRTS,64-D,Warje Malwadi To Hadapsar Gadital,20
Non-BRTS,64-U,Hadapsar Gadital To Warje Malwadi,20
Non-BRTS,65-D,Maharashtra Housing Board Samtanagar To Upper Depot,16.5
Non-BRTS,65-U,Upper Depot To Maharashtra Housing Board Samtanagar,16.5
Non-BRTS,66-D,Agalambegaon To Marketyard,29.1
Non-BRTS,66-U,Marketyard To Agalambegaon,29.1
BRTS,67-D,Kharadi Gaon To Swargate,17.2
BRTS,67-U,Swargate To Kharadi Gaon,17.2
Non-BRTS,68A-D,Swargate To Kumbare Park,10
Non-BRTS,68A-U,Kumbare Park To Swargate,10
Non-BRTS,68P-D,Swargate To Kothrud Depot,9.4
Non-BRTS,68P-U,Kothrud Depot To Swargate,9.4
Non-BRTS,68S-D,Marketyard To Sutardara,12.7
Non-BRTS,68S-U,Sutardara To Marketyard,12.7
Non-BRTS,69-D,Ghotawadegaon To Marketyard,31.3
Non-BRTS,69-U,Marketyard To Ghotawadegaon,31.3
Non-BRTS,70-D,Sheregaon To Deccan Gymkhana,33.3
Non-BRTS,70-U,Deccan Gymkhana To Sheregaon,33.3
Non-BRTS,71-D,Sukhsagarnagar To Kothrud Depot,14.3
Non-BRTS,71-U,Kothrud Depot To Sukhsagarnagar,14.3
Non-BRTS,72-D,Kondhwagate To Upper Depot,20.9
Non-BRTS,72-U,Upper Depot To Kondhwagate,20.9
Non-BRTS,73-D,Kothrud Depot To Hadapsar Gadital,18.7
Non-BRTS,73-U,Hadapsar Gadital To Kothrud Depot,18.7
Non-BRTS,75-D,Vidyanagar To Deccan Gymkhana,13.5
Non-BRTS,75-U,Deccan Gymkhana To Vidyanagar,13.5
Non-BRTS,76-D,Marketyard To Kumbare Park,11.8
Non-BRTS,76-U,Kumbare Park To Marketyard,11.8
Non-BRTS,77-R,Warje Malwadi To Warje Malwadi,24.5
Non-BRTS,78-D,Kondhwagate To Marketyard,19.1
Non-BRTS,78-U,Marketyard To Kondhwagate,19.1
Non-BRTS,79-D,Mugawade To Deccan Gymkhana,29.9
Non-BRTS,79-U,Deccan Gymkhana To Mugawade,29.1
Non-BRTS,7A-D,Uruli Kanchan To Hadapsar Gadital,20.8
Non-BRTS,7A-U,Hadapsar Gadital To Uruli Kanchan,20.8
Non-BRTS,7-D,Uruli Kanchan To Sarasbaug,31.5
Non-BRTS,7-U,Sarasbaug To Uruli Kanchan,31.5
Non-BRTS,80A-D,Aditya Garden City To Ma Na Pa,12.8
Non-BRTS,80A-U,Ma Na Pa To Aditya Garden City,12.8
Non-BRTS,80-D,Cipla Center To Ma Na Pa,9.4
Non-BRTS,80-U,Ma Na Pa To Cipla Center,9.4
Non-BRTS,81-D,Pune Station To Kumbare Park,12.9
Non-BRTS,81-U,Kumbare Park To Pune Station,12.9
Non-BRTS,82A-D,Ma Na Pa To Warje Malwadi,9.9
Non-BRTS,82A-U,Warje Malwadi To Ma Na Pa,9.9
Non-BRTS,82-R,Kondhwagate To Kondhwagate,30.8
Non-BRTS,84A-D,Kondhur Phata To Deccan Gymkhana,37.4
Non-BRTS,84A-U,Deccan Gymkhana To Kondhur Phata,37.4
Non-BRTS,84-D,Sangrun To Deccan Gymkhana,28.4
Non-BRTS,84-U,Deccan Gymkhana To Sangrun,28.4
Non-BRTS,85-D,Ahiregaon To Ma Na Pa,20.8
Non-BRTS,85-U,Ma Na Pa To Ahiregaon,20.8
Non-BRTS,86-R,Kothrud Depot To Kothrud Depot,16.9
Non-BRTS,87A-D,Sutarwadi Pashan To Deccan Gymkhana,15.5
Non-BRTS,87A-U,Deccan Gymkhana To Sutarwadi Pashan,15.5
Non-BRTS,87B-D,Sutarwadi Pashan To Mandai,10.8
Non-BRTS,87B-U,Mandai To Sutarwadi Pashan,10.8
Non-BRTS,87-D,Balewadi Mhalunge Phata To Deccan Gymkhana,12
Non-BRTS,87-U,Deccan Gymkhana To Balewadi Mhalunge Phata,12
Non-BRTS,88-D,Medi Point To Upper Depot,16.8
Non-BRTS,88-U,Upper Depot To Medi Point,16.8
Non-BRTS,89-D,Niljyoti To Swargate,7.5
Non-BRTS,89-U,Swargate To Niljyoti,7.5
Non-BRTS,8-D,Mhatobachi Alandi To Hadapsar Gadital,19
Non-BRTS,8-U,Hadapsar Gadital To Mhatobachi Alandi,19
Non-BRTS,90-D,Gokhalenager To Swargate,7.3
Non-BRTS,90P-D,Pandavnagar Senapati Bapat Road To Swargate,9
Non-BRTS,90P-U,Swargate To Pandavnagar Senapati Bapat Road,9
Non-BRTS,90-U,Swargate To Gokhalenager,7.3
Non-BRTS,91-D,Ishanyanagari To Ma Na Pa,9
Non-BRTS,91-U,Ma Na Pa To Ishanyanagari,9
Non-BRTS,92-D,Pune Station To Gujrat Colony,9.5
Non-BRTS,92-U,Gujrat Colony To Pune Station,9.5
Non-BRTS,93-D,Pimplenilakh To Deccan Gymkhana,12.6
Non-BRTS,93-U,Deccan Gymkhana To Pimplenilakh,12.6
BRTS,94A-D,Vadgaonsheri To Kumbre park,19.1
BRTS,94A-U,Kumbre park To Vadgaonsheri,19.1
Non-BRTS,94-D,Pune Station To Kothrud Depot,11.4
Non-BRTS,94-U,Kothrud Depot To Pune Station,11.4
Non-BRTS,95A-D,Vasantdada Putala Sangvi To Gujrat Colony,14.5
Non-BRTS,95A-U,Gujrat Colony To Vasantdada Putala Sangvi,14.5
Non-BRTS,95-D,Pimplegurav To Kothrud Depot,21.1
Non-BRTS,95-U,Kothrud Depot To Pimplegurav,21.1
Non-BRTS,96-D,Gharkul Vasahat Warje To Pimplegurav,23.3
Non-BRTS,96-U,Pimplegurav To Gharkul Vasahat Warje,23.3
Non-BRTS,97-D,Sahkarnagar To Warje Malwadi,12.5
Non-BRTS,97-U,Warje Malwadi To Sahkarnagar,12.5
Non-BRTS,9-D,Uruli Railway Station To Hadapsar Gadital,27.1
Non-BRTS,9-U,Hadapsar Gadital To Uruli Railway Station,27.1
Non-BRTS,VJR1-D,Dhayari Maruti Mandir To Hadapsar Gadital,21.7
Non-BRTS,VJR1-U,Hadapsar Gadital To Dhayari Maruti Mandir,21.7
BRTS,VJR2-D,Kesnand Phata Wagholi To Warje Malwadi,29.4
BRTS,VJR2-U,Warje Malwadi To Kesnand Phata Wagholi,29.4
Non-BRTS,VJR3-D,Hadapsar Gadital To Kothrud Depot,17.9
Non-BRTS,VJR3-U,Kothrud Depot To Hadapsar Gadital,17.9
BRTS,VJR4-D,Vishrantwadi To Kothrud Depot,15.9
BRTS,VJR4-U,Kothrud Depot To Vishrantwadi,15.9
BRTS,VJR5-D,Mukai Chowk To Ma Na Pa,20.6
BRTS,VJR5-U,Ma Na Pa To Mukai Chowk,20.6
BRTS,VJR6-D,Hinjawadi - Maan Phase 3 To Bhosari,24
BRTS,VJR6-U,Bhosari To Hinjawadi - Maan Phase 3,24
