Type,ID,Description,KM
BRTS,234-U,Ma Na Pa To Kharadi Gaon,14
BRTS,235-D,Kharadi Gaon To Katraj,22.4
BRTS,235-U,Katraj To Kharadi Gaon,22.4
BRTS,236-D,Khulewadi To Ma Na Pa,13.5
BRTS,236-U,Ma Na Pa To Khulewadi,13.5
BRTS,237-D,Kharadi Gaon To Warje Malwadi,24.2
BRTS,237-U,Warje Malwadi To Kharadi Gaon,24.2
Non-BRTS,23-D,Pune Station To Upper Depot,11.4
Non-BRTS,23-U,Upper Depot To Pune Station,11.4
Non-BRTS,24A-D,Maharashtra Housing Board Samtanagar To Katraj Via Nana Peth,18
Non-BRTS,24A-U,Katraj To Maharashtra Housing Board Samtanagar Via Nana Peth,18
Non-BRTS,24B-D,Lohgaon To Katraj,21.1
Non-BRTS,24B-U,Katraj To Lohgaon,21.1
Non-BRTS,24-D,Maharashtra Housing Board Samtanagar To Katraj,18
Non-BRTS,24-NGT-D,Pune Station To Katraj,10.8
Non-BRTS,24-NGT-U,Katraj To Pune Station,10.8
Non-BRTS,24-U,Katraj To Maharashtra Housing Board Samtanagar,18
Non-BRTS,252-D,Charholigaon To Ma Na Pa,21.6
Non-BRTS,252-U,Ma Na Pa To Charholigaon,21.6
Non-BRTS,256B-D,Banergaon To Ma Na Pa,11
Non-BRTS,256B-U,Ma Na Pa To Banergaon,11
Non-BRTS,256-D,Balewadi Depot To Ma Na Pa,13.5
Non-BRTS,256S-D,Someshwarwadi To Ma Na Pa,8.1
Non-BRTS,256S-U,Ma Na Pa To Someshwarwadi,8.1
Non-BRTS,256-U,Ma Na Pa To Balewadi Depot,13.5
Non-BRTS,257A-D,Markalgaon To Ma Na Pa,31.2
Non-BRTS,257A-U,Ma Na Pa To Markalgaon,31.2
Non-BRTS,262-D,Dehugaon To Ma Na Pa,31.3
Non-BRTS,262-U,Ma Na Pa To Dehugaon,31.3
Non-BRTS,264-D,Bahulgaon To Ma Na Pa,38
Non-BRTS,264-U,Ma Na Pa To Bahulgaon,38
Non-BRTS,26-D,Shivajinagar To Dhankawadi,10.2
Non-BRTS,26-U,Dhankawadi To Shivajinagar,10.2
BRTS,276-D,Chinchwadgaon To Warje Malwadi,24.9
BRTS,276-U,Warje Malwadi To Chinchwadgaon,24.9
Non-BRTS,277-D,Khadki Bazar To Kondhwagate,24
Non-BRTS,277-U,Kondhwagate To Khadki Bazar,24
Non-BRTS,279-D,Khamboli To Deccan Gymkhana,34.6
Non-BRTS,279-U,Deccan Gymkhana To Khamboli,34.6
Non-BRTS,27-D,Shivajinagar To Bharati Vidyapeeth,10.9
Non-BRTS,27-U,Bharati Vidyapeeth To Shivajinagar,11.1
Non-BRTS,280-D,Ma Na Pa To Warje Hanuman Chowk,9.9
Non-BRTS,280-U,Warje Hanuman Chowk To Ma Na Pa,9.9
Non-BRTS,281-D,Bhakti Shakti To Warje Malewadi,28.4
Non-BRTS,281-U,Warje Malewadi To Bhakti Shakti,28.4
Non-BRTS,282-D,Bhosarigaon To Warje Malewadi,25.6
Non-BRTS,282-U,Warje Malewadi To Bhosarigaon,25.6
Non-BRTS,283-D,Pune Station To Kumbare Park,12.5
Non-BRTS,283-U,Kumbare Park To Pune Station,12.5
Non-BRTS,284-D,Bhakti Shakti To Kothrud Depot,26.5
Non-BRTS,284-U,Kothrud Depot To Bhakti Shakti,26.5
Non-BRTS,286-D,Azadnagar To Galinde Path,16.8
Non-BRTS,286-U,Galinde Path To Azadnagar,16.8
Non-BRTS,28-D,Shivajinagar To Katraj Via Bibvewadi,11.1
Non-BRTS,28-U,Katraj To Shivajinagar Via Bibvewadi,11.1
Non-BRTS,290-D,Shivajinagar To Shaninagar,13.4
Non-BRTS,290-U,Shaninagar To Shivajinagar,13.4
Non-BRTS,291A-D,Hadapsar Gadital To Upper Depot,15.6
Non-BRTS,291A-U,Upper Depot To Hadapsar Gadital,15.6
Non-BRTS,291-D,Hadapsar Gadital To Katraj,14.2
Non-BRTS,291-U,Katraj To Hadapsar Gadital,14.2
Non-BRTS,292A-D,Kalyangaon To Swargate,34
Non-BRTS,292A-U,Swargate To Kalyangaon,34
Non-BRTS,292B-D,Rahatwadegaon To Swargate,30
Non-BRTS,292B-U,Swargate To Rahatwadegaon,30
Non-BRTS,292C-D,Avsarwadi To Swargate,31
Non-BRTS,292C-U,Swargate To Avsarwadi,31
Non-BRTS,292-D,Kondhanpur To Swargate,29
Non-BRTS,292-U,Swargate To Kondhanpur,29
Non-BRTS,293-D,Kusgaon To Swargate,25.3
Non-BRTS,293-U,Swargate To Kusgaon,25.3
Non-BRTS,294-D,Khadakwasla Dharan To Katraj,13
Non-BRTS,294-U,Katraj To Khadakwasla Dharan,13
Non-BRTS,295-D,Pune Station To Ambegaon,16.7
Non-BRTS,295-U,Ambegaon To Pune Station,16.7
Non-BRTS,296-D,Shivajinagar To Jambhulwadi,13.3
Non-BRTS,296-U,Jambhulwadi To Shivajinagar,13.3
Non-BRTS,297-D,Shivajinagar To Rajas Society,11.5
Non-BRTS,297-U,Rajas Society To Shivajinagar,11.5
BRTS,298-D,Chinchwadgaon To Katraj,26.75
BRTS,298-U,Katraj To Chinchwadgaon,26.75
Non-BRTS,299-D,Bhosarigaon To Katraj,26.9
Non-BRTS,299-U,Katraj To Bhosarigaon,26.9
Non-BRTS,29A-D,Alandi To Swargate,28.6
Non-BRTS,29A-U,Swargate To Alandi,28.6
BRTS,29-D,Vishrantwadi To Swargate,12.6
BRTS,29-U,Swargate To Vishrantwadi,12.6
Non-BRTS,2A-D,Shivajinagar To Katraj Ladies Special,10.5
Non-BRTS,2A-U,Katraj To Shivajinagar Ladies Special,10.5
Non-BRTS,2B-D,Shivajinagar To Bhilarewadi,12
Non-BRTS,2B-U,Bhilarewadi To Shivajinagar,12
Non-BRTS,2-D,Shivajinagar To Katraj,10.5
Non-BRTS,2K-D,Shivajinagar To Narhegaon,14.5
Non-BRTS,2K-U,Narhegaon To Shivajinagar,14.5
Non-BRTS,2-NGT-D,Shivajinagar To Katraj Night Service,10.5
Non-BRTS,2-NGT-U,Katraj To Shivajinagar Night Service,10.5
Non-BRTS,2-U,Katraj To Shivajinagar,10.5
Non-BRTS,301-D,Shewalwadi To Katraj,19
Non-BRTS,301-U,Katraj To Shewalwadi,19
Non-BRTS,302A-D,Alandi To Pimprigaon,17.7
Non-BRTS,302A-U,Pimprigaon To Alandi,17.7
Non-BRTS,302B-D,Bopkhel To Pimprigaon,19.85
Non-BRTS,302B-U,Pimprigaon To Bopkhel,19.85
Non-BRTS,302-D,Gavhanevasti Bhosari To Pimprigaon,8.65
Non-BRTS,302-U,Pimprigaon To Gavhanevasti Bhosari,8.65
Non-BRTS,303A-D,Ravet Basket Pul To Nigdi,6
Non-BRTS,303A-U,Nigdi To Ravet Basket Pul,6
Non-BRTS,303-D,Akurdi Railway Station To Nigdi,6.2
Non-BRTS,303-U,Nigdi To Akurdi Railway Station,6.2
Non-BRTS,304-D,Gavhanevasti Bhosari To Chinchwadgaon,10.2
Non-BRTS,304-U,Chinchwadgaon To Gavhanevasti Bhosari,10.2
Non-BRTS,305A-D,Dy Patil College Wadgaonmawal To Nigdi,22
Non-BRTS,305A-U,Nigdi To Dy Patil College Wadgaonmawal,22
Non-BRTS,305B-D,Navlakh Umbre To Nigdi,26
Non-BRTS,305B-U,Nigdi To Navlakh Umbre,26
Non-BRTS,305-D,Vadgaon Mawal To Nigdi,22
Non-BRTS,305-U,Nigdi To Vadgaon Mawal,22
Non-BRTS,306-D,Hinjawadi Maan Phase 3 To Dange Chowk,13.3
Non-BRTS,306-U,Dange Chowk To Hinjawadi Maan Phase 3,13.3
Non-BRTS,307-D,Walhekarwadi To Chinchwadgaon,2.3
Non-BRTS,307-U,Chinchwadgaon To Walhekarwadi,2.3
Non-BRTS,308-D,Gharkul Vasahat Chikhli To Bhakti Shakti,5.4
Non-BRTS,308-U,Bhakti Shakti To Gharkul Vasahat Chikhli,5.4
Non-BRTS,309-D,Dehugaon To Alandi,16
Non-BRTS,309-U,Alandi To Dehugaon,16
Non-BRTS,30-D,Ghotawade Phata To Marketyard,31.5
Non-BRTS,30-U,Marketyard To Ghotawade Phata,31.5
Non-BRTS,310-D,Walhekarwadi To Pune Station,24.8
Non-BRTS,310-U,Pune Station To Walhekarwadi,24.8
Non-BRTS,311-D,Pimprigaon To Pune Station,21.8
Non-BRTS,311-U,Pune Station To Pimprigaon,21.8
Non-BRTS,312-D,Chinchwadgaon To Pune Station,22.5
Non-BRTS,312-U,Pune Station To Chinchwadgaon,22.5
Non-BRTS,313-D,Chandkhed To Chinchwadgaon,19.3
Non-BRTS,313-U,Chinchwadgaon To Chandkhed,19.3
Non-BRTS,314-D,Mhalunge MIDC To Bhakti Shakti,11.2
Non-BRTS,314-U,Bhakti Shakti To Mhalunge MIDC,11.2
Non-BRTS,315-D,Bhosari To Pune Station,18.5
Non-BRTS,315-U,Pune Station To Bhosari,18.5
Non-BRTS,316-D,Hinjawadi Maan Phase 3 To Chinchwadgaon,14.2
Non-BRTS,316-U,Chinchwadgaon To Hinjawadi Maan Phase 3,14.2
Non-BRTS,317-D,Sambhajinagar To Pune Station,23.7
Non-BRTS,317-U,Pune Station To Sambhajinagar,23.7
BRTS,318A-D,Gharkul Vasahat Chikali To Pune Station,25.6
BRTS,318A-U,Pune Station To Gharkul Vasahat Chikali,25.6
BRTS,318-D,Krishanagar To Pune Station,26
BRTS,318-U,Pune Station To Krishnanagar,26
Non-BRTS,319-D,Vadgaon Mawal To Alandi,32.8
Non-BRTS,319-U,Alandi To Vadgaon Mawal,32.8
Non-BRTS,31-D,Pune Station To Taljai Pathar,12
Non-BRTS,31-U,Taljai Pathar To Pune Station,12
Non-BRTS,320-D,Mahalungegaon To Alandi,30.5
Non-BRTS,320-U,Alandi To Mahalungegaon,30.5
BRTS,321A-D,Hinjewadi - Maan Phase 3 To Pimpale Gurav,21.8
BRTS,321A-U,Pimple Gurav To Hinjewadi - Maan Phase 3,21.8
BRTS,321-D,Hinjewadi - Maan Phase 3 To Vasasantdada Putla Sangvi,23.1
BRTS,321-U,Vasasantdada Putla Sangvi To Hinjewadi - Maan Phase 3,23.1
Non-BRTS,322A-D,Akurdi Railway Station To Ganpati Matha,30.8
Non-BRTS,322A-U,Warje Malwadi To Akurdi Railway Station,30.8
Non-BRTS,322K-D,Akurdi Railway Station To Ma Na Pa,23.5
Non-BRTS,322K-U,Ma Na Pa To Akurdi Railway Station,23.5
Non-BRTS,323A-D,Gharkul Vasahat Chikhli To Ma Na Pa,20.8
Non-BRTS,323A-U,Ma Na Pa To Gharkul Vasahat Chikhli,20.8
